"file","cell","macrophage","vsmc","endothelial","fibroblast","t_nk","b_cell","mast","major_cell_type","top_score","second_score","detected_genes","counts","mt_fraction","sc_cluster","PC1","PC2","PC3","PC4","PC5"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B07",-0.53545756987976,-0.621167966463024,0.830072547394656,-0.668197424531454,-0.198456128968344,-0.0309460439265076,-0.0877404191262241,"endothelial",0.830072547394656,-0.0309460439265076,7558,493368,0.0271014739504792,"C6",4.20007259012469,12.9329040197069,16.8226721785908,-0.938104948766682,-1.16848049369833
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B08",-0.576910456412575,-0.409311887874901,1.12779905082974,-0.540464590071415,-0.202523864969145,-0.013650503578236,-0.0877404191262241,"endothelial",1.12779905082974,-0.013650503578236,6555,408509,0.0255147377413962,"C6",4.65314925177699,14.5595192667164,15.5573332477872,0.0795728974765715,-0.586416695879182
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B10",-0.595271671478514,-0.309526985528398,1.76090910535472,-0.635462629004606,-0.1997420101438,-0.0519827570349395,-0.0877404191262241,"endothelial",1.76090910535472,-0.0519827570349395,11779,723720,0.0148151218703366,"C6",6.41412614642568,24.4999878645314,6.90992554292815,1.94269792022378,-4.24507709053708
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B11",0.450356820324469,-0.543099489722865,-0.0942542632208359,-0.700828026420583,-0.197202632473426,-0.0670969352261772,-0.043992068230026,"macrophage",0.450356820324469,-0.043992068230026,11131,375979,0.03616691357762,"C9",-12.1976428487452,-0.315263657631394,5.94968890357814,-4.32383863493192,7.39378609271409
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B13",-0.437788100817433,-0.491566096237969,1.22502817449789,-0.544739804365521,-0.202523864969145,0.0305714464232826,-0.0877404191262241,"endothelial",1.22502817449789,0.0305714464232826,7681,184186,0.0726005233839705,"C6",2.32557236375235,9.93802687641227,14.3694231908989,-2.62129359595631,-0.143742161216822
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B14",-0.437721286289302,-0.327934878594278,2.24943531223453,-0.612670330036318,-0.202523864969145,0.0108257109563298,-0.0877404191262241,"endothelial",2.24943531223453,0.0108257109563298,7791,301790,0.026770270718049,"C6",2.33028658571335,10.0058165700572,16.590696665063,-0.575344809125638,0.467212889073671
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B15",-0.633863177120257,-0.556779662408822,1.27275784855126,-0.570432362896019,-0.202523864969145,-0.0317362303877103,-0.0877404191262241,"endothelial",1.27275784855126,-0.0317362303877103,5083,386011,0.024359409446881,"C6",3.94803801837666,16.51704015802,10.8016638443163,3.8524925547044,1.23855436690299
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B17",-0.344574426787813,-0.452410336844582,0.969767095871892,-0.554993392548481,-0.202523864969145,0.0236041865096365,-0.0877404191262241,"endothelial",0.969767095871892,0.0236041865096365,8026,213505,0.0548464907145032,"C6",1.33661723658099,13.3023303320235,13.986471459791,-2.30431651801955,-1.10230268642483
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B18",-0.595832168664945,-0.33115972774081,1.74375187184946,-0.661263657804354,-0.202523864969145,-0.0634801493672714,-0.0877404191262241,"endothelial",1.74375187184946,-0.0634801493672714,7139,531241,0.0151569626591321,"C6",3.13851240041958,14.278472097528,10.6539572878818,1.4490331604756,0.705359222820448
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B19",-0.58117541570743,-0.513718104252677,2.39688013278049,-0.666434377363709,-0.202523864969145,-0.0124946695534724,-0.0877404191262241,"endothelial",2.39688013278049,-0.0124946695534724,6746,394958,0.0190172119567144,"C6",2.77310868679334,12.4509532792004,16.0341192328889,1.50637190245698,0.0605565539335782
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B24",-0.619335054867012,-0.451913253080588,1.6711894120019,-0.619529264150473,-0.202523864969145,-0.0529644515841026,-0.0877404191262241,"endothelial",1.6711894120019,-0.0529644515841026,9667,686252,0.0214148738364333,"C6",5.08883438823459,17.5661564441408,13.6982593736123,3.56139665230813,-3.36280019884851
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D01",-0.47994525034333,-0.339935307068096,1.56336329657321,-0.768951753431491,-0.193197664304809,0.035062781273788,-0.0246418800892924,"endothelial",1.56336329657321,0.035062781273788,6208,212672,0.0409456816130003,"C6",2.32098241628069,10.5249894198415,18.0531156003025,-1.26874558041066,-2.21879903884201
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D02",-0.510887163918902,-0.328782671146062,2.08291059555234,-0.767106751934499,0.223317858521563,-0.00601171457795537,-0.0554529789603621,"endothelial",2.08291059555234,0.223317858521563,8028,364371,0.0265745627396253,"C6",3.54076997825946,16.1327523890497,14.7770347326507,1.47325166164847,-1.01615933278535
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D03",-0.571463617193737,-0.508832525699352,1.85320635310255,-0.690895224763204,-0.202523864969145,-0.0439510074698538,-0.0877404191262241,"endothelial",1.85320635310255,-0.0439510074698538,7422,572392,0.0165812939384198,"C6",5.07350460422547,18.3671881777704,8.27747624093431,4.14251687922529,-0.421121161777744
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D04",-0.542562296400676,-0.44081148628342,1.24021841058414,-0.723150400289569,-0.202523864969145,0.0140464481987983,-0.0877404191262241,"endothelial",1.24021841058414,0.0140464481987983,5461,305847,0.0315582627915265,"C6",2.05421901014312,14.6370979435766,15.8872214186421,1.52024111970059,0.234317796435079
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D05",0.76577968612632,-0.507341990762929,-0.194827092110619,-0.493018716026979,-0.00539251492015233,-0.0164902930911083,-0.0877404191262241,"macrophage",0.76577968612632,-0.00539251492015233,12437,385178,0.0238798685283168,"C5",-15.6147279591369,9.82303832647419,-11.2120808141067,1.45632494463866,12.2418796661514
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D07",1.36050422306851,-0.594026232739693,-0.11086855594352,-0.803213683530914,-0.0967412261069551,-0.0124942157960575,-0.0877404191262241,"macrophage",1.36050422306851,-0.0124942157960575,11707,535831,0.0181325828479502,"C3",-17.4221734769303,7.08330050432634,-6.63348852224763,4.39270799145191,-8.65476137924408
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D08",-0.549891662411547,-0.617283623322432,1.32602304929406,-0.785605320866175,-0.202523864969145,-0.00219298528340546,-0.0877404191262241,"endothelial",1.32602304929406,-0.00219298528340546,6361,377650,0.0229445253541639,"C6",0.657553651002333,12.6954950072693,14.9055864054793,-0.00149643411648161,-1.04351537109291
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D09",-0.568306357916498,-0.456457403538666,2.39446307355983,-0.589925039053794,-0.202523864969145,-0.02348324172808,-0.0877404191262241,"endothelial",2.39446307355983,-0.02348324172808,6389,426732,0.0235979490640496,"C6",2.98942242907564,16.0005542037944,15.443792090625,-0.0293953310113825,-1.53716847558891
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D13",0.714167175415281,-0.601362213836761,0.113772557338186,-0.469164529489538,-0.202523864969145,-0.0423073394614,-0.0877404191262241,"macrophage",0.714167175415281,0.113772557338186,8712,221670,0.0205981864934362,"C9",-14.8521161771267,-3.98263066165254,5.68402179048575,-5.10256211607858,7.51902074661462
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D16",-0.425033012656098,-0.397969418665401,0.83594014277033,-0.621577061174579,-0.202523864969145,0.040346393938401,0.0170881132249235,"endothelial",0.83594014277033,0.040346393938401,5635,126062,0.0322063746410496,"C6",0.633010774713018,10.6776897666673,15.4939087706571,-3.14340095548717,-0.619988300590994
