"file","cell","group","major_cell_type","subcluster","macrophage_score","efferocytosis_score","noncontractile_vsmc_score"
"GSM8121894_athero_human_1.txt.gz","Plate_732s_K02","asymptomatic","macrophage","macrophage_S3",1.05484567158235,0.558700395493684,0.350956251455437
"GSM8121894_athero_human_1.txt.gz","Plate_732s_M03","asymptomatic","macrophage","macrophage_S1",1.50032562855045,0.901999727203039,0.240265480089708
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A02","asymptomatic","macrophage","macrophage_S2",1.77581838886361,0.191982876947775,-0.581299360705655
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A04","asymptomatic","macrophage","macrophage_S2",1.31145555584915,0.422932825308379,-0.263248768648656
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A08","asymptomatic","macrophage","macrophage_S2",1.34827432473233,0.137772891126177,-0.539788509798944
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A09","asymptomatic","macrophage","macrophage_S2",0.915536985181655,0.50104417567236,-0.35275802964827
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A10","asymptomatic","macrophage","macrophage_S2",0.770590202577258,-0.333342026417471,-0.514742000551213
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A13","asymptomatic","macrophage","macrophage_S2",0.793877444230132,0.383994444688286,-0.404434181700958
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A14","asymptomatic","macrophage","macrophage_S2",1.14813445349595,-0.267535184644568,-0.425620669616232
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A15","asymptomatic","macrophage","macrophage_S2",1.6010245000567,-0.0894581722393514,-0.429625468387449
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A16","asymptomatic","macrophage","macrophage_S2",1.08718579085293,-0.492791552409034,-0.213347638648578
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A19","asymptomatic","macrophage","macrophage_S2",1.63143161405601,0.212602477699808,-0.552655673927019
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A22","asymptomatic","macrophage","macrophage_S2",1.69310121372576,-0.331891210724096,-0.224049848270248
"GSM8121894_athero_human_1.txt.gz","Plate_733s_A23","asymptomatic","macrophage","macrophage_S3",0.861244390057042,0.35101247488661,-0.258313941297496
"GSM8121894_athero_human_1.txt.gz","Plate_733s_B02","asymptomatic","macrophage","macrophage_S1",1.56353108940815,0.345905443024537,-0.1286566356766
"GSM8121894_athero_human_1.txt.gz","Plate_733s_B05","asymptomatic","macrophage","macrophage_S2",1.34195383699104,0.181411123341511,-0.538906478746226
"GSM8121894_athero_human_1.txt.gz","Plate_733s_B07","asymptomatic","macrophage","macrophage_S2",1.24729802237448,-0.0682734576780998,-0.417142183694889
"GSM8121894_athero_human_1.txt.gz","Plate_733s_B09","asymptomatic","macrophage","macrophage_S3",0.662639002687923,-0.301835286179793,-0.238387405121567
"GSM8121894_athero_human_1.txt.gz","Plate_733s_B10","asymptomatic","macrophage","macrophage_S1",1.17995168878456,0.733085599469147,-0.618246948513374
"GSM8121894_athero_human_1.txt.gz","Plate_733s_B11","asymptomatic","macrophage","macrophage_S2",1.66019621845859,0.0645948991841623,-0.478495441800076
"GSM8121894_athero_human_1.txt.gz","Plate_733s_B12","asymptomatic","macrophage","macrophage_S2",0.571412964911002,0.420830357945806,-0.610054013280745
"GSM8121894_athero_human_1.txt.gz","Plate_733s_B15","asymptomatic","macrophage","macrophage_S2",0.0854309570218027,-0.179519116683002,-0.43925498477759
"GSM8121894_athero_human_1.txt.gz","Plate_733s_B22","asymptomatic","macrophage","macrophage_S3",0.380055871443602,0.618448020497652,-0.291815505735762
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C01","asymptomatic","macrophage","macrophage_S2",1.46964087437439,0.352588596618627,-0.380162420418604
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C05","asymptomatic","macrophage","macrophage_S3",0.684809529292458,0.0789935841243181,0.13544310154944
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C07","asymptomatic","macrophage","macrophage_S2",1.38695534576842,0.131929749408966,-0.423678430175126
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C08","asymptomatic","macrophage","macrophage_S2",0.910299447985243,-0.129791088564391,-0.355811751267299
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C09","asymptomatic","macrophage","macrophage_S3",0.746854850498552,0.164395587433313,-0.218796408079264
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C10","asymptomatic","macrophage","macrophage_S3",0.137652176921633,0.0497520929026778,-0.420343653668451
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C11","asymptomatic","macrophage","macrophage_S2",0.9453354013739,-0.461950302571406,-0.616186679051942
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C12","asymptomatic","macrophage","macrophage_S1",1.25311046398231,0.754427973676979,-0.494631013787605
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C13","asymptomatic","macrophage","macrophage_S3",0.922898168912126,-0.532777009205881,-0.213470221465825
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C16","asymptomatic","macrophage","macrophage_S2",1.27285006696748,0.120533822472001,-0.542462887419515
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C18","asymptomatic","macrophage","macrophage_S2",1.70525400992575,-0.167795233203968,-0.475264332598811
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C19","asymptomatic","macrophage","macrophage_S2",1.82407348990952,0.139003630877166,-0.398276446086454
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C23","asymptomatic","macrophage","macrophage_S2",1.21843002072525,-0.130607066685293,-0.367108584491904
"GSM8121894_athero_human_1.txt.gz","Plate_733s_C24","asymptomatic","macrophage","macrophage_S3",0.8090326887076,0.0300524535594863,0.140469858029765
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D01","asymptomatic","macrophage","macrophage_S2",1.69711022275415,-0.0349523778458677,-0.389114508958301
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D02","asymptomatic","macrophage","macrophage_S2",1.31191165530832,-0.0175739194452475,-0.350951108372061
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D07","asymptomatic","macrophage","macrophage_S2",1.44322502600266,0.149338592612906,-0.562016276852058
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D09","asymptomatic","macrophage","macrophage_S2",1.82668540068234,0.141435068021655,-0.348395708292153
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D11","asymptomatic","macrophage","macrophage_S2",1.38321856599941,0.386053457132784,-0.431299366179029
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D12","asymptomatic","macrophage","macrophage_S2",1.44990324995286,0.0681288737364898,-0.568209957639078
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D13","asymptomatic","macrophage","macrophage_S3",1.09640036006967,-0.153643271199039,-0.165847833843049
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D15","asymptomatic","macrophage","macrophage_S2",0.977259535590398,-0.0842752127703986,-0.610018636160874
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D18","asymptomatic","macrophage","macrophage_S2",1.44025602565186,0.238749306295616,-0.223115435510588
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D19","asymptomatic","macrophage","macrophage_S2",1.15979089704162,0.0186957678876183,-0.51131780946324
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D23","asymptomatic","macrophage","macrophage_S1",1.25137802944251,0.622821693669071,-0.472492713822365
