"file","cell","macrophage_score","vsmc_score","efferocytosis_score","contractile_vsmc_score","noncontractile_vsmc_score","major_cell_type","group"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B07",-0.418440942254671,-0.744860167131523,-0.393256263955701,-0.639459372467441,-0.337376177233315,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B08",-0.652916033253111,-0.44298340700575,-0.0249870560262978,-0.404666336814062,-0.45815977651393,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B10",-0.61220612562743,-0.320232868192975,-0.165115499533201,-0.309193695515237,-0.348320727386991,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B11",0.0408001828393819,-0.64754378255563,0.923258493111939,-0.4835259231481,0.612379572877701,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B13",-0.370567562728462,-0.572525161950575,-0.323412413110882,-0.505421035104481,-0.344096290553439,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B14",-0.492248158921202,-0.345596537817018,-0.401203392807356,-0.308690373675923,-0.472835006607449,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B15",-0.721739471465903,-0.69244089218013,-0.375444136451595,-0.598688825283025,-0.207643878470042,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B17",-0.366614649949197,-0.500002750682437,-0.0400835393420247,-0.449014715229263,-0.293489346944559,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B18",-0.667977168368557,-0.330296044686173,-0.447015835275574,-0.317020610565502,0.0790723097227498,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B19",-0.511291510239578,-0.587585275551144,-0.360742456422877,-0.517134456793813,-0.355482333872801,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B24",-0.693219678022844,-0.504697138352414,-0.326648806203218,-0.452665905639245,-0.516666462090365,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D01",-0.536144987967142,-0.339324136716028,-0.252111665954661,-0.324042459922056,-0.547300236870089,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D02",-0.552614841486502,-0.323391799684551,-0.352411739174159,-0.307249906033783,-0.537648718932288,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D03",-0.58915804142637,-0.580605877617822,-0.205258602115135,-0.511706036179007,-0.0655818044981286,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D04",-0.616040785802406,-0.527146555324449,-0.495158041048274,-0.470126563284161,-0.252201167409815,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D05",0.946610915649588,-0.675734564794984,0.829666590422922,-0.585695015094577,1.0411284148014,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D07",1.58288576348616,-0.702311173389737,0.180016470371525,-0.606365710668274,-0.402015473314744,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D08",-0.628364147871764,-0.740452852894556,-0.00674444650646179,-0.636031461394244,-0.593521544736115,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D09",-0.654242815067365,-0.600278512492312,-0.34291436682402,-0.527006974414721,-0.516842035622057,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D13",0.738299319594808,-0.729042623718551,0.958040385167864,-0.627156838701796,0.35049874365771,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D16",-0.44578811904121,-0.436591409143639,-0.413996477945456,-0.399694782921309,-0.511454989920557,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D17",1.38174781802906,-0.681626704503279,1.24755581024737,-0.590277790423251,0.162020471785403,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D18",1.52527354160433,-0.631123284593295,1.01129171432483,-0.550997352715486,0.043769133272932,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D22",-0.590126552789385,-0.585536095111784,-0.21019982105777,-0.515540649785422,-0.500660737209416,"unassigned","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E03",-0.452135637330484,-0.448628608513987,0.0581563400589152,-0.409057049098246,-0.287708352741559,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E05",-0.512748311805306,-0.585935914648395,-0.187327526720276,-0.515851620536119,-0.0856916818535019,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E06",-0.541295629820253,-0.547967267188604,-0.303709937363179,-0.486320450289615,-0.339679489976377,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E07",1.28115790792535,-0.743994666869774,1.23830125378998,-0.638786205597192,0.24889544136203,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E08",-0.514439217307559,0.962162494173407,0.183555079846659,0.688224919658616,1.22760961371033,"vsmc","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E09",-0.630279461919911,-0.721482206921434,-0.316698960766896,-0.621276514526261,-0.382598331043207,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E11",-0.421112858777929,-0.419298045148705,-0.246548880053271,-0.386244388703027,-0.313848600628681,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E15",-0.593707637358672,-0.493907596605046,-0.467561723346542,-0.444274039835736,-0.178043951354789,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E16",1.47644366751898,-0.71578103513416,0.514632319905113,-0.616842269802826,-0.225634754344433,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E17",0.518544783935006,-0.688488308195229,0.767966735259927,-0.595614593294768,0.0842900766027871,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E18",0.896194218657722,-0.571140658232273,0.762309618952042,-0.504344198879135,0.133641947670021,"b_cell","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E20",-0.387818676347188,-0.60504462285902,-0.326557246100609,-0.530713949144384,-0.19824751822753,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E21",-0.526239860727464,-0.634021397309966,-0.264116083394104,-0.553251440384007,-0.431736462799624,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E23",-0.4293341881257,-0.290087963567168,-0.443122312836602,-0.285747658584054,-0.0801365768160106,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E24",-0.606318375284485,-0.525838797301061,-0.283946889899848,-0.46910941815486,-0.352541902405682,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F03",0.706828892011435,-0.522306270676118,0.979718508116805,-0.46636189744657,0.164067590272407,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F04",-0.596438693464669,-0.68644678894827,-0.190408068677258,-0.594026744991578,-0.192551546282609,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F06",-0.525340625944647,0.385100258466729,0.120432687589743,0.239398736331199,0.00374017182572533,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F07",-0.49951703498989,-0.31722855118456,-0.201430271285665,-0.306857004508692,-0.35881522989052,"unassigned","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F08",-0.593555821509753,-0.473703611658756,-0.135126537720725,-0.428559829321955,-0.0393720114653303,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F11",1.58939082375894,-0.517723225736631,0.92303877620272,-0.457825820922397,0.111300079263643,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F13",-0.575949838827492,-0.618335506013319,-0.309783757887542,-0.541051302708838,-0.426780688918768,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F17",0.106406917532968,-0.395549056570054,0.630058625898919,-0.367772953141854,0.534667459547528,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F18",-0.456817221850151,-0.582959786949594,-0.18454414844737,-0.513536854548163,-0.321025747672583,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F19",-0.504203066600583,-0.629419312017563,-0.178092896213423,-0.549672040712139,-0.372091362320214,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F20",-0.524468274299637,-0.409730386461258,-0.0506488743232164,-0.378802876390568,-0.420566203938791,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F21",1.61779791086767,-0.548535910595174,0.809609080916082,-0.486762728494725,-0.102660479973363,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F22",-0.240286465353345,-0.68421675172618,-0.438782661148372,-0.592292271596619,-0.44031096152889,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G01",-0.672695281651778,-0.168546416266405,-0.499589223198601,-0.187771392617548,-0.103531135429995,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G02",-0.471333156012578,-0.373121266262141,-0.313180851806769,-0.3503291162357,-0.232144069424431,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G06",-0.554565276056273,-0.392930473470723,-0.101847324325348,-0.36573627739793,-0.423985388091347,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G09",-0.647876054219531,-0.545780300182079,-0.223811869645332,-0.484619475951207,-0.424977010665194,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G10",-0.59285141593957,-0.477685014902592,-0.187186105671203,-0.431656476289383,-0.133130528496491,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G11",-0.601126221426826,0.138943181864806,0.0846677227952596,0.0479432323074814,-0.158489523768746,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G13",-0.390238003052977,-0.354393515331669,-0.222818957321254,-0.335763087734221,-0.394459847460135,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G14",-0.507358734700833,-0.244424500904688,-0.422734224272623,-0.243836710269926,-0.506971557501299,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G16",-0.6434199771472,-0.657506220644589,-0.393304242616981,-0.571517414088715,-0.407253789082071,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G17",-0.463394416796247,-0.544546502712579,-0.259727312931127,-0.483659855697151,-0.282354773590073,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G19",-0.514222756922508,-0.48282527862734,-0.270133140824492,-0.433040122860368,-0.456937191544635,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G23",1.58970144892841,-0.52594611786343,0.654798788752856,-0.469192889703368,-0.415155816434834,"macrophage","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G24",-0.462934542740699,-0.53209922673669,-0.231480229602116,-0.471466932087127,-0.425372460371695,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H01",-0.6436282377157,-0.473576727838307,-0.238602605608027,-0.425815244485552,-0.393108746882896,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H02",-0.399828007526353,-0.500884490600696,-0.346004427619942,-0.443760107688346,-0.23191654245307,"endothelial","asymptomatic"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H05",-0.376740837084811,0.183538222439344,0.0168039842891264,0.0826282638654553,0.0758322662819363,"endothelial","asymptomatic"
