"","GSM3039648","GSM3039649","GSM3039650","GSM3039651","GSM3039652","GSM3039653","GSM3039654","GSM3039655","GSM3039656","GSM3039657","GSM3039658","GSM3039659","GSM3039660","GSM3039661","GSM3039662","GSM3039663","GSM3039664","GSM3039665"
"GSM3039648",1,0.908742445674077,0.224402945443918,0.195981283441047,0.229777965769144,0.504285203127301,0.934140733946661,0.937563580390984,0.911011286563379,0.209275097774426,0.938030220018867,0.789373579681754,0.936059442440113,0.919948885030055,0.936871462517499,0.923646229613369,0.852938446349512,0.924889233140954
"GSM3039649",0.908742445674077,1,0.151530018457107,0.128074924162921,0.166474330706819,0.413379284716202,0.954494272317348,0.94329198673116,0.96417814494679,0.148087701300345,0.955304383654336,0.732925516644183,0.96764309076001,0.943313914502325,0.961234874612838,0.964360057628768,0.932455597425744,0.964984829649338
"GSM3039650",0.224402945443918,0.151530018457107,1,0.455556489678317,0.473086280612536,0.478624522365701,0.174441864022782,0.206074731784501,0.16487600697266,0.450441649429515,0.190449278118442,0.357822611425815,0.167373542896619,0.183764729411437,0.175556877742202,0.164541714475472,0.136028324622195,0.162273019155596
"GSM3039651",0.195981283441047,0.128074924162921,0.455556489678317,1,0.45488025160571,0.448513492788444,0.1484991283699,0.172019788675094,0.143963110153232,0.432557912477853,0.164485498494204,0.331902349479558,0.142885836407442,0.162032785942048,0.147159375458902,0.140607058087799,0.125489535927496,0.142164172307301
"GSM3039652",0.229777965769144,0.166474330706819,0.473086280612536,0.45488025160571,1,0.467151407350225,0.190867690556428,0.215343678764694,0.183600864314452,0.432679391744606,0.205797380568653,0.35833177642435,0.181937446293103,0.201147583027374,0.189842189632407,0.180557420601278,0.159127607597152,0.181376036420149
"GSM3039653",0.504285203127301,0.413379284716202,0.478624522365701,0.448513492788444,0.467151407350225,1,0.434187545870025,0.490769020875557,0.423946675657993,0.448368945384957,0.463385808537826,0.64107374481443,0.43815478402424,0.452047270807875,0.449140260013577,0.429372374221503,0.367058318348978,0.425039612901173
"GSM3039654",0.934140733946661,0.954494272317348,0.174441864022782,0.1484991283699,0.190867690556428,0.434187545870025,1,0.956731963005904,0.954675020674605,0.166405194538423,0.968719788150611,0.745735828369743,0.965915998144952,0.955473018978562,0.971177452847312,0.966457797398832,0.903500744769248,0.964433923815494
"GSM3039655",0.937563580390984,0.94329198673116,0.206074731784501,0.172019788675094,0.215343678764694,0.490769020875557,0.956731963005904,1,0.938688078993325,0.188555304422478,0.966813979668063,0.780137387309633,0.964707397684027,0.952041014883548,0.973144974022066,0.962493998967565,0.87229771946657,0.948858901487806
"GSM3039656",0.911011286563379,0.96417814494679,0.16487600697266,0.143963110153232,0.183600864314452,0.423946675657993,0.954675020674605,0.938688078993325,1,0.160756268759451,0.955214473787307,0.745858653954647,0.970303130823579,0.947229071902853,0.958677099810429,0.970951984061113,0.949702724848158,0.9718437118529
"GSM3039657",0.209275097774426,0.148087701300345,0.450441649429515,0.432557912477853,0.432679391744606,0.448368945384957,0.166405194538423,0.188555304422478,0.160756268759451,1,0.181330095235019,0.330435122229542,0.16020040734861,0.174711167771005,0.165427014865787,0.159431175749346,0.143889014201251,0.160620880187089
"GSM3039658",0.938030220018867,0.955304383654336,0.190449278118442,0.164485498494204,0.205797380568653,0.463385808537826,0.968719788150611,0.966813979668063,0.955214473787307,0.181330095235019,1,0.764734599726128,0.971318203529738,0.962660546975786,0.975679872297787,0.975796717604113,0.904360732852035,0.969467824305871
"GSM3039659",0.789373579681754,0.732925516644183,0.357822611425815,0.331902349479558,0.35833177642435,0.64107374481443,0.745735828369743,0.780137387309633,0.745858653954647,0.330435122229542,0.764734599726128,1,0.760316057415298,0.753137981176233,0.753559740369407,0.746403058636551,0.697608619774973,0.747030383779793
"GSM3039660",0.936059442440113,0.96764309076001,0.167373542896619,0.142885836407442,0.181937446293103,0.43815478402424,0.965915998144952,0.964707397684027,0.970303130823579,0.16020040734861,0.971318203529738,0.760316057415298,1,0.961410030688583,0.975587953677908,0.981679314377424,0.933873351042653,0.97647675559481
"GSM3039661",0.919948885030055,0.943313914502325,0.183764729411437,0.162032785942048,0.201147583027374,0.452047270807875,0.955473018978562,0.952041014883548,0.947229071902853,0.174711167771005,0.962660546975786,0.753137981176233,0.961410030688583,1,0.963072396416676,0.96061995084845,0.896313930896733,0.954681279027978
"GSM3039662",0.936871462517499,0.961234874612838,0.175556877742202,0.147159375458902,0.189842189632407,0.449140260013577,0.971177452847312,0.973144974022066,0.958677099810429,0.165427014865787,0.975679872297787,0.753559740369407,0.975587953677908,0.963072396416676,1,0.977664872297054,0.901005298473981,0.967549899866448
"GSM3039663",0.923646229613369,0.964360057628768,0.164541714475472,0.140607058087799,0.180557420601278,0.429372374221503,0.966457797398832,0.962493998967565,0.970951984061113,0.159431175749346,0.975796717604113,0.746403058636551,0.981679314377424,0.96061995084845,0.977664872297054,1,0.931299849678751,0.977968527721711
"GSM3039664",0.852938446349512,0.932455597425744,0.136028324622195,0.125489535927496,0.159127607597152,0.367058318348978,0.903500744769248,0.87229771946657,0.949702724848158,0.143889014201251,0.904360732852035,0.697608619774973,0.933873351042653,0.896313930896733,0.901005298473981,0.931299849678751,1,0.943934777774318
"GSM3039665",0.924889233140954,0.964984829649338,0.162273019155596,0.142164172307301,0.181376036420149,0.425039612901173,0.964433923815494,0.948858901487806,0.9718437118529,0.160620880187089,0.969467824305871,0.747030383779793,0.97647675559481,0.954681279027978,0.967549899866448,0.977968527721711,0.943934777774318,1
