"file","cell","group","major_cell_type","inflammatory_vsmc_associated_score","n_genes_used"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G13","asymptomatic","endothelial",-0.375662387519031,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G14","asymptomatic","endothelial",-0.241165287874203,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G16","asymptomatic","endothelial",0.191936258319555,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G17","asymptomatic","endothelial",0.333158557404897,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G19","asymptomatic","endothelial",0.13145036181971,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G23","asymptomatic","macrophage",-0.316267498931428,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G24","asymptomatic","endothelial",-0.444167273047016,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H01","asymptomatic","endothelial",-0.11008900146217,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H02","asymptomatic","endothelial",-0.0841794397086151,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H05","asymptomatic","endothelial",0.453431299706614,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H08","asymptomatic","endothelial",0.125356050537847,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H09","asymptomatic","endothelial",-0.297830264044554,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H13","asymptomatic","endothelial",-0.444646090730677,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H15","asymptomatic","endothelial",0.402241836093479,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H16","asymptomatic","endothelial",-0.415023749885215,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H18","asymptomatic","endothelial",-0.236950723978935,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H19","asymptomatic","fibroblast",-0.0712767010435298,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H22","asymptomatic","b_cell",-0.205341896614914,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H24","asymptomatic","endothelial",-0.173346385868724,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J01","asymptomatic","endothelial",0.323834130471509,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J02","asymptomatic","endothelial",0.361581149009773,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J03","asymptomatic","endothelial",-0.098983955441971,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J05","asymptomatic","endothelial",-0.0873127201324018,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J06","asymptomatic","endothelial",-0.263562272361442,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J08","asymptomatic","endothelial",-0.0629680302149583,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J09","asymptomatic","endothelial",-0.0694934846823738,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J10","asymptomatic","endothelial",-0.264198957591235,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J11","asymptomatic","macrophage",0.329022774391962,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J13","asymptomatic","macrophage",0.545323293974203,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J17","asymptomatic","endothelial",-0.0768721097616203,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J18","asymptomatic","endothelial",-0.268045869440691,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J19","asymptomatic","macrophage",-0.288282614158766,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J20","asymptomatic","macrophage",-0.0950167711018698,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J21","asymptomatic","unassigned",-0.180878679584139,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J23","asymptomatic","endothelial",-0.341112616830564,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J24","asymptomatic","endothelial",-0.227406858454894,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L01","asymptomatic","endothelial",-0.227453485921037,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L03","asymptomatic","endothelial",0.025080234967767,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L05","asymptomatic","endothelial",0.133327553230246,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L06","asymptomatic","endothelial",-0.0211492143666233,12
