"sc_cluster","gene","mean_in","mean_out","logFC","pct_in","pct_out"
"C1","RAC2",3.76177097416069,0.636817968289218,3.12495300587147,0.951807228915663,0.474398602338395
"C1","TRAC",3.178359441593,0.0787365459415152,3.09962289565148,0.8714859437751,0.154145948125252
"C1","TRBC2",2.98083143597973,0.0355590232858057,2.94527241269392,0.879518072289157,0.0963580163956457
"C1","CD52",3.31792838329677,0.414092778725497,2.90383560457127,0.93574297188755,0.394973793844913
"C1","CORO1A",3.43317984412652,0.636484548642439,2.79669529548408,0.951807228915663,0.445504636473592
"C1","PTPRC",3.47914411901362,0.947759873760534,2.53138424525309,0.983935742971888,0.501814272275232
"C1","CORO1B",3.57155994051545,1.0677660696743,2.50379387084116,0.959839357429719,0.759709716435963
"C1","CD3E",2.44589941553955,0.0157055682177789,2.43019384732178,0.775100401606426,0.0512027953232092
"C1","CD3D",2.44233382523007,0.0185208604544263,2.42381296477564,0.783132530120482,0.0600725708910093
"C1","IL32",3.09282436270839,0.751417686059717,2.34140667664867,0.891566265060241,0.670608789141244
"C1","TRBC1",2.34718972850612,0.0215518850173766,2.32563784348875,0.8714859437751,0.0612820857411638
"C1","LCP1",3.47445274856703,1.1592403664896,2.31521238207743,0.983935742971888,0.532992877301438
"C1","SELPLG",2.91539466638288,0.683790690057817,2.23160397632506,0.919678714859438,0.446579760784841
"C1","CXCR4",3.18346811616596,0.997903049724459,2.1855650664415,0.93574297188755,0.53393361107378
"C1","CTSW",2.15590150130074,0.0502826240643394,2.1056188772364,0.690763052208835,0.133181024055906
"C1","IL7R",2.17151391195872,0.147603419900311,2.02391049205841,0.718875502008032,0.233436366079828
"C1","NKG7",2.04890401909338,0.0561364555479381,1.99276756354544,0.718875502008032,0.108587555436097
"C1","CD53",2.96718071305498,1.05528268690404,1.91189802615094,0.955823293172691,0.523854320655826
"C1","LAPTM5",3.78063289646641,1.89170715321079,1.88892574325562,0.987951807228916,0.672355866147023
"C1","BTG1",3.1523079546518,1.34259335686923,1.80971459778257,0.939759036144578,0.866953366483
"C1","HCST",2.43877907608576,0.760905866412382,1.67787320967338,0.907630522088353,0.460018814675447
"C1","TXNIP",3.60829023185228,1.99841031289052,1.60987991896176,0.959839357429719,0.899072705281548
"C1","IFITM1",3.07020270193256,1.47436250688561,1.59584019504695,0.931726907630522,0.820991802177127
"C1","GIMAP7",2.13106363544111,0.535628356193094,1.59543527924802,0.755020080321285,0.37360569815885
"C1","PSMB9",2.48496406146217,0.972730434594419,1.51223362686775,0.899598393574297,0.768713882542669
"C1","LTB",1.51606487245348,0.0555641325803224,1.46050073987316,0.578313253012048,0.0882945840612821
"C1","LSP1",2.77489154482525,1.40110928452552,1.37378226029973,0.955823293172691,0.734444295121623
"C1","ITGB2",2.83636001375408,1.48530886222676,1.35105115152733,0.971887550200803,0.626259911302244
"C1","FYB1",2.25411305169713,0.917501218645816,1.33661183305131,0.903614457831325,0.499932804730547
"C1","GNLY",1.36299807855633,0.038686700162322,1.32431137839401,0.578313253012048,0.0951485015454912
"C10","COL1A2",4.79678644423553,1.68327697142339,3.11350947281215,1,0.790818741126361
"C10","LUM",3.9440563162838,0.948493799582049,2.99556251670175,0.987416728349371,0.606878056475785
"C10","COL1A1",4.14304555390171,1.16806215909866,2.97498339480305,0.997779422649889,0.722038176368512
"C10","COL3A1",4.03513539193531,1.24305094453158,2.79208444740373,0.998519615099926,0.714150496923805
"C10","THBS2",4.29260990975519,1.50284622843554,2.78976368131965,0.999259807549963,0.727086291213125
"C10","AEBP1",4.27288953711114,1.63208290159199,2.64080663551915,1,0.74743650418047
"C10","C1R",4.06974236694312,1.50484500342878,2.56489736351434,1,0.821107430194037
"C10","PRELP",4.00877031762115,1.45987257141896,2.54889774620219,0.999259807549963,0.806909607193564
"C10","SULF1",3.94249855015529,1.39462912525952,2.54786942489577,0.999259807549963,0.749960561602776
"C10","BGN",4.91443943789971,2.37715505936024,2.53728437853947,1,0.867171478151128
"C10","CCDC80",3.43239666011559,1.01790874564294,2.41448791447265,0.997779422649889,0.738129042435715
"C10","VCAN",4.47107935385277,2.07119756915256,2.3998817847002,1,0.904716832307935
"C10","LTBP2",3.66484546356403,1.27001746563731,2.39482799792672,0.998519615099926,0.764789398958826
"C10","PCOLCE",3.30163117827729,0.914908215695477,2.38672296258182,0.998519615099926,0.586843350686228
"C10","CFH",3.54656629812741,1.16729111767536,2.37927518045205,0.998519615099926,0.706893831834674
"C10","COL6A3",3.10013368615592,0.726944842135384,2.37318884402053,0.988156920799408,0.660987537466477
"C10","CCN2",4.29198363313185,1.93412223466547,2.35786139846639,0.998519615099926,0.822527212494084
"C10","EFEMP1",4.25409175801622,1.94603479030587,2.30805696771035,1,0.826313298627544
"C10","ISLR",3.11782382239378,0.811619701969004,2.30620412042478,0.996299037749815,0.558132197507493
"C10","DCN",3.01333327053189,0.725070364550706,2.28826290598118,0.954848260547742,0.602460955986749
"C10","C1S",3.66729463035116,1.40032095104259,2.26697367930857,0.998519615099926,0.781826786559394
"C10","LTBP1",3.6968311591074,1.45877077136114,2.23806038774625,1,0.701372456223379
"C10","POSTN",3.17943564166947,0.972901017627449,2.20653462404202,0.974833456698742,0.685754850922858
"C10","FBLN1",2.66715974920662,0.562777891141739,2.10438185806488,0.979274611398964,0.501498659094494
"C10","MXRA8",2.83363994559373,0.737822485994506,2.09581745959922,0.988897113249445,0.50970184571699
"C10","PRSS23",3.30631030330243,1.24908473814647,2.05722556515596,0.996299037749815,0.797444391859915
"C10","CCN1",3.43674538586103,1.38477097215503,2.051974413706,0.997039230199852,0.766051427669979
"C10","SPARC",4.65053127080125,2.63635258163521,2.01417868916604,1,0.933585739075564
"C10","COL6A1",3.2797048515118,1.2764462708963,2.00325858061549,1,0.761476573592049
"C10","ITGBL1",2.73691974052079,0.798310413930015,1.93860932659078,0.993338267949667,0.531629594573277
"C2","MYH11",4.16533702910522,0.917824359061513,3.24751267004371,0.998408910103421,0.768070884501788
"C2","RGS5-ENSG00000143248",4.21790867545944,1.01941666496791,3.19849201049152,0.998408910103421,0.648064666563034
"C2","MFAP4",4.34517410862374,1.14969007580154,3.19548403282221,1,0.689258510803669
"C2","ACTA2",4.81169904564894,1.87828831607127,2.93341072957767,1,0.881081921343075
"C2","MYH10",3.65130786943366,0.84341851318059,2.80788935625307,0.996022275258552,0.642002176278564
"C2","ITGA8",3.44177703287497,0.67019380003842,2.77158323283655,0.998408910103421,0.578734649463703
"C2","TPM2",4.15078192172643,1.48664477801316,2.66413714371327,1,0.779263174257734
"C2","LTBP1",4.06682780301533,1.41917678644833,2.647651016567,0.99920445505171,0.705891496968755
"C2","FRZB",3.43381674827628,0.811765996753121,2.62205075152316,0.996022275258552,0.590704181563812
"C2","CALD1",4.45794153308983,1.84189008401951,2.61605144907032,1,0.81579356443339
"C2","ACTA2-AS1",3.98769611165861,1.38129429746033,2.60640181419829,1,0.753458728431525
"C2","OGN",3.7482144848421,1.14379026781338,2.60442421702872,0.998408910103421,0.67853256645422
"C2","FHL1",4.20253703852782,1.60464259125007,2.59789444727775,1,0.815482667495725
"C2","TAGLN",4.63378204305069,2.05003780708802,2.58374423596267,0.99920445505171,0.87113321933779
"C2","MYL9",3.72822178147873,1.1897692472577,2.53845253422103,1,0.721591792320846
"C2","LMOD1",2.96925955209777,0.524366394845701,2.44489315725207,0.989657915672235,0.474584175345873
"C2","CCN3",3.30356888246744,0.891825237778541,2.4117436446889,0.987271280827367,0.585263485154671
"C2","MAP1B",3.56676908494145,1.18685123394751,2.37991785099394,1,0.684595056738691
"C2","PLN",2.75889501598404,0.451783915728658,2.30711110025538,0.984884645982498,0.447069796362506
"C2","PPP1R14A",2.8803865379997,0.612495918346329,2.26789061965337,0.994431185361973,0.544069640914037
"C2","CNN1",2.52735703652362,0.294088115325536,2.23326892119809,0.949880668257757,0.436343852013058
"C2","CLU",4.08184785402156,1.88214034419498,2.19970750982658,1,0.872532255557283
"C2","AEBP1",3.93549690111466,1.73659687130851,2.19890002980615,0.998408910103421,0.751437898336701
"C2","SMOC2",3.00880064745076,0.825773968750712,2.18302667870005,0.990453460620525,0.536919011347738
"C2","BGN",4.64320863393057,2.46722840805788,2.17598022587269,0.99920445505171,0.869267837711798
"C2","ADH1B",3.07700009364319,0.901083253646217,2.17591683999697,0.980111376292761,0.634696098243432
"C2","RAMP1",2.44732494707574,0.291062999841542,2.1562619472342,0.954653937947494,0.382869578734649
"C2","FBLN5",3.0285832469219,0.880726849324036,2.14785639759786,0.989657915672235,0.634229752836935
"C2","CRYAB",3.20431742590523,1.07432400052279,2.12999342538244,1,0.645888387999378
"C2","MFGE8",3.2848824739711,1.16617982789837,2.11870264607274,1,0.739157469298927
"C3","C1QC",4.31655517268925,1.14925276980654,3.16730240288272,1,0.567865779927449
"C3","C1QB",4.1343945170991,1.02361545067198,3.11077906642712,1,0.561215235792019
"C3","C1QA",4.19988455518968,1.10063713456518,3.09924742062451,1,0.571795646916566
"C3","HLA-DRA",4.83929066965569,1.98450670560773,2.85478396404796,1,0.728083434099154
"C3","MS4A6A",3.54711319404764,0.809985690145472,2.73712750390217,1,0.513452237001209
