"sample","efferocytosis","contractile_vsmc","synthetic_vsmc","inflammatory_vsmc","ecm_remodeling_vsmc","group","cohort"
"GSM3039648",0.511747802007318,-0.0289598802407115,0.309566424899239,0.255295352366037,-0.212697820109932,"symptomatic","GSE111782"
"GSM3039649",-0.0969277723667919,0.059193985099696,0.792315918932841,0.0670331378569445,0.278619245604534,"symptomatic","GSE111782"
"GSM3039650",-0.678371308206603,-0.771634333516593,-1.19598433051707,-0.935823181215664,-0.240040599872457,"symptomatic","GSE111782"
"GSM3039651",-1.14836765735831,-1.0394755642767,-1.77282209149816,-0.800701159658817,-0.490748597086983,"symptomatic","GSE111782"
"GSM3039652",-0.542315557430186,-0.382149032476097,-1.14545902157977,-1.00842687593217,0.320301979796771,"symptomatic","GSE111782"
"GSM3039653",-0.0206051329207295,-0.498129905783971,-0.425453124167077,-0.222140852837274,0.402289719978579,"symptomatic","GSE111782"
"GSM3039654",0.170583513770606,0.0389737063787334,0.612047570008524,0.74241825370763,0.198441043407613,"symptomatic","GSE111782"
"GSM3039655",0.542942813279327,0.175681606157928,0.492114585748227,0.531784053420212,0.0857753206278118,"symptomatic","GSE111782"
"GSM3039656",0.15724676210201,0.427585690824988,0.520603756798452,0.215733870822685,0.263737624046315,"symptomatic","GSE111782"
"GSM3039657",-0.730487769112228,-1.0589355469994,-1.40191510462061,-0.936662207991679,-0.457046501327491,"asymptomatic","GSE111782"
"GSM3039658",0.374006124983989,0.246839848977759,0.740636974708874,0.665191859502268,0.0668602416029107,"asymptomatic","GSE111782"
"GSM3039659",-0.0274370020702624,0.740629076447561,0.0919224357843403,-0.362797086737436,-0.074158076529055,"asymptomatic","GSE111782"
"GSM3039660",0.442484571123861,0.40848644928682,0.378052572368425,0.0714651786547314,-0.0689219755942447,"asymptomatic","GSE111782"
"GSM3039661",0.418464421973475,0.125360463236558,0.197420946506046,0.618540415403001,-0.064540217030123,"asymptomatic","GSE111782"
"GSM3039662",0.584850735822624,0.107883035442268,0.615311508747088,0.645966516653116,0.231139421289007,"asymptomatic","GSE111782"
"GSM3039663",0.56319606807594,0.389177863457278,0.46469394569196,0.594048397486127,0.195489870779807,"asymptomatic","GSE111782"
"GSM3039664",-0.728582524545447,0.597197769412612,0.256693900443686,-0.586725045059191,-0.48394748865212,"asymptomatic","GSE111782"
"GSM3039665",0.207571910871403,0.46227476857127,0.470253131744986,0.445799373559484,0.0494468090690554,"asymptomatic","GSE111782"
"Asymp1",-0.0571121872355619,0.0855459885494513,0.603474460292814,0.625940798798374,0.530022378705663,"asymptomatic","GSE311535"
"Asymp2",-0.288092398761928,-1.1392959291234,-0.657748404233361,0.103691158156672,-0.22342839097735,"asymptomatic","GSE311535"
"Symp1",-0.722166186692328,1.27098740516567,0.722219736467526,-1.05629501378754,0.321602132620739,"symptomatic","GSE311535"
"Symp2",0.247917236914884,-0.565845324269563,-0.589676423393933,0.406041741556325,0.285261790131485,"symptomatic","GSE311535"
"Symp3",-0.386553990678687,-1.12446554150425,-1.5477797642694,-0.304292351962347,-0.761111045424371,"symptomatic","GSE311535"
"Symp4",0.487010288769436,-0.571870722386618,0.643649738729669,0.665861359803916,0.695238010227292,"symptomatic","GSE311535"
"Asymp3",0.0876616991566726,-0.364472704138062,-0.426957555233873,-0.163154484524092,-0.227404867238511,"asymptomatic","GSE311535"
"Symp5",0.864409740426556,-0.840994728324668,-0.0116127378900514,0.92334852209029,0.385738263109295,"symptomatic","GSE311535"
"Symp6",0.200103881827573,0.244144484143703,-0.0630622273878658,-0.235093064963733,-0.337299706574766,"symptomatic","GSE311535"
"Asymp4",-0.705675923001608,1.79032466106882,0.102932892395836,-0.891897613632528,-0.434814766022919,"asymptomatic","GSE311535"
"Asymp5",0.499360662094242,0.273041645352273,1.08637148034695,0.711559210896951,0.319993446164399,"asymptomatic","GSE311535"
"Asymp6",-0.226862822819249,0.94290076546665,0.138188804175698,-0.785710262432284,-0.553797244720958,"asymptomatic","GSE311535"
