"file","cell","group","major_cell_type","subcluster","vsmc_score","contractile_vsmc_score","noncontractile_vsmc_score"
"GSM8121906_athero_human_13.txt.gz","Plate_589s_C12","asymptomatic","vsmc","vsmc_S1",0.774487455955428,0.63391068618176,-0.0900660475143214
"GSM8121906_athero_human_13.txt.gz","Plate_589s_C13","asymptomatic","vsmc","vsmc_S1",0.803495121330788,0.731724326775338,0.1001929584893
"GSM8121906_athero_human_13.txt.gz","Plate_589s_C14","asymptomatic","vsmc","vsmc_S2",1.02798021294139,1.14529714318094,0.135453743060562
"GSM8121906_athero_human_13.txt.gz","Plate_589s_C18","asymptomatic","vsmc","vsmc_S1",0.906403555562982,0.800447698572454,-0.116188540484141
"GSM8121906_athero_human_13.txt.gz","Plate_589s_C19","asymptomatic","vsmc","vsmc_S1",0.781745805139888,0.727054467964822,-0.240405281312792
"GSM8121906_athero_human_13.txt.gz","Plate_589s_C22","asymptomatic","vsmc","vsmc_S1",0.95258769335707,0.808523299504963,0.0832502594507394
"GSM8121906_athero_human_13.txt.gz","Plate_589s_D01","asymptomatic","vsmc","vsmc_S1",0.579097213831927,0.51714156753173,-0.00841350229205179
"GSM8121906_athero_human_13.txt.gz","Plate_589s_D08","asymptomatic","vsmc","vsmc_S1",1.0234930710182,0.833887067106032,-0.0553003790914386
"GSM8121906_athero_human_13.txt.gz","Plate_589s_D11","asymptomatic","vsmc","vsmc_S1",0.743233290376152,0.868300674128626,-0.163960291335336
"GSM8121906_athero_human_13.txt.gz","Plate_589s_D20","asymptomatic","vsmc","vsmc_S1",0.803759221758369,0.730985075701669,-0.0909084587538603
"GSM8121906_athero_human_13.txt.gz","Plate_589s_D21","asymptomatic","vsmc","vsmc_S1",0.903517243364556,0.770588465758829,-0.0771392791766719
"GSM8121906_athero_human_13.txt.gz","Plate_589s_E01","asymptomatic","vsmc","vsmc_S1",1.16754755098342,1.13154422408458,-0.345644552078607
"GSM8121906_athero_human_13.txt.gz","Plate_589s_E02","asymptomatic","vsmc","vsmc_S1",0.90816773786992,0.803169606030504,-0.121621270434959
"GSM8121906_athero_human_13.txt.gz","Plate_589s_E06","asymptomatic","vsmc","vsmc_S1",1.22284441319165,1.89454515492861,-0.44910298368995
"GSM8121906_athero_human_13.txt.gz","Plate_589s_E12","asymptomatic","vsmc","vsmc_S1",0.914666261414381,0.805595179294519,0.0373974637277299
"GSM8121906_athero_human_13.txt.gz","Plate_589s_E16","asymptomatic","vsmc","vsmc_S1",0.705895934543714,0.843163802054519,0.00251941215568502
"GSM8121906_athero_human_13.txt.gz","Plate_589s_E18","asymptomatic","vsmc","vsmc_S1",0.510823153605602,0.413762244541674,0.11876718683398
"GSM8121906_athero_human_13.txt.gz","Plate_589s_E23","asymptomatic","vsmc","vsmc_S1",0.959665132893426,0.828591745921504,-0.0961146365435065
