"sample","PC1","PC2","group"
"GSM3039648",-38.5487653633329,5.7271022032641,"symptomatic"
"GSM3039649",-56.6364281660033,-4.84909817901425,"symptomatic"
"GSM3039650",133.202878850551,21.902343445537,"symptomatic"
"GSM3039651",135.446761347498,34.1085724736912,"symptomatic"
"GSM3039652",129.255531854173,38.3419093237382,"symptomatic"
"GSM3039653",81.812283992645,46.2288339689369,"symptomatic"
"GSM3039654",-52.7332122148577,-2.81529869405437,"symptomatic"
"GSM3039655",-45.5870567898734,5.18995517028616,"symptomatic"
"GSM3039656",-54.3191359408147,-5.20329941584291,"symptomatic"
"GSM3039657",130.771626522957,-139.014190305589,"asymptomatic"
"GSM3039658",-50.1389311420855,-0.418052333292431,"asymptomatic"
"GSM3039659",10.7413517361793,25.5482194611957,"asymptomatic"
"GSM3039660",-55.0039709457035,-2.30236879715498,"asymptomatic"
"GSM3039661",-49.1749116139024,-0.671874074542309,"asymptomatic"
"GSM3039662",-53.2045735411154,-0.665003634417933,"asymptomatic"
"GSM3039663",-55.6970487580993,-4.30822917167768,"asymptomatic"
"GSM3039664",-55.0076544648325,-11.5221321706957,"asymptomatic"
"GSM3039665",-55.1787453633836,-5.27738927036795,"asymptomatic"
