"file","cell","group","major_cell_type","sc_cluster","PC1","PC2"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F21","asymptomatic","macrophage","C3",-19.3312663155817,4.40893428559486
"GSM8121894_athero_human_1.txt.gz","Plate_730s_F22","asymptomatic","endothelial","C6",3.31190069166496,13.682589566847
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G01","asymptomatic","endothelial","C6",3.59718488598771,11.2523723080991
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G02","asymptomatic","endothelial","C6",5.05790964421938,11.1890504787677
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G06","asymptomatic","endothelial","C6",4.72968545317322,21.3557462018732
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G09","asymptomatic","endothelial","C6",6.98137736340124,20.6404787853906
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G10","asymptomatic","endothelial","C6",3.13582862573522,15.7220580624294
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G11","asymptomatic","endothelial","C6",6.81447234084856,6.95108631294858
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G13","asymptomatic","endothelial","C6",2.77522434070854,13.9918973339836
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G14","asymptomatic","endothelial","C6",3.46028248882367,13.1138035952328
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G16","asymptomatic","endothelial","C6",3.99185684685811,13.11093917903
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G17","asymptomatic","endothelial","C6",2.27040026960327,14.9992785098016
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G19","asymptomatic","endothelial","C6",2.89128267999666,19.9283039301128
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G23","asymptomatic","macrophage","C3",-19.5463221036083,5.80673920462254
"GSM8121894_athero_human_1.txt.gz","Plate_730s_G24","asymptomatic","endothelial","C6",4.91009233088311,14.6898406808495
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H01","asymptomatic","endothelial","C6",5.32479822681822,17.2806116947644
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H02","asymptomatic","endothelial","C6",3.59408399561439,15.3785297078603
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H05","asymptomatic","endothelial","C6",7.42973728027485,19.4173033832621
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H08","asymptomatic","endothelial","C6",6.20922505025743,22.606183618693
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H09","asymptomatic","endothelial","C6",2.39490301547638,9.11052000502398
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H13","asymptomatic","endothelial","C6",2.64538761033945,13.0120209933416
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H15","asymptomatic","endothelial","C6",2.44192839963428,1.86399911066195
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H16","asymptomatic","endothelial","C6",0.661320292062556,10.3576922175711
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H18","asymptomatic","endothelial","C6",2.89280883637095,14.6010574719393
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H19","asymptomatic","fibroblast","C8",7.64065510613908,-2.42439094585534
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H22","asymptomatic","b_cell","C6",1.15757322106933,8.79797183220638
"GSM8121894_athero_human_1.txt.gz","Plate_730s_H24","asymptomatic","endothelial","C6",5.83116707462396,20.5630149733226
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J01","asymptomatic","endothelial","C6",1.52722649628089,12.6441643418729
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J02","asymptomatic","endothelial","C6",1.18586217762492,17.1407730059012
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J03","asymptomatic","endothelial","C6",1.74491932180215,14.2552518130054
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J05","asymptomatic","endothelial","C6",3.58345159296218,17.5184313992683
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J06","asymptomatic","endothelial","C6",1.42563555119219,4.44278912395009
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J08","asymptomatic","endothelial","C6",3.39500091143315,14.3464958666249
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J09","asymptomatic","endothelial","C6",3.49864822532161,19.4418975711479
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J10","asymptomatic","endothelial","C6",1.50499686298885,13.6333539965549
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J11","asymptomatic","macrophage","C5",-16.7815507168803,4.49559803629986
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J13","asymptomatic","macrophage","C9",-15.5743797202093,-1.62059602097769
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J17","asymptomatic","endothelial","C6",-4.97502433693951,10.0898965883282
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J18","asymptomatic","endothelial","C6",2.24031800895439,14.1231948491697
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J19","asymptomatic","macrophage","C5",-14.8027612153571,6.71634191589373
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J20","asymptomatic","macrophage","C5",-16.7255606773803,9.63622117166965
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J21","asymptomatic","unassigned","C6",4.69835368028845,19.3967689726735
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J23","asymptomatic","endothelial","C6",0.306910223892616,7.39171711378091
"GSM8121894_athero_human_1.txt.gz","Plate_730s_J24","asymptomatic","endothelial","C6",2.70001402837137,9.17504883115912
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L01","asymptomatic","endothelial","C6",6.44502426761364,12.2849901923949
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L03","asymptomatic","endothelial","C6",3.13418018669168,1.50170210975564
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L05","asymptomatic","endothelial","C6",3.60799091164491,20.1272829510984
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L06","asymptomatic","endothelial","C6",5.29412217030258,14.6961314290502
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L07","asymptomatic","macrophage","C5",-15.8942342870432,7.9866607667993
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L08","asymptomatic","macrophage","C5",-21.5795433487028,5.88745263849608
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L09","asymptomatic","endothelial","C6",3.85248707909313,14.60595689273
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L10","asymptomatic","endothelial","C6",5.14892514167133,17.8631752636038
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L11","asymptomatic","endothelial","C6",2.58426865237905,9.508629622044
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L12","asymptomatic","endothelial","C6",3.61034540551308,22.3287794107606
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L13","asymptomatic","endothelial","C6",2.29886623676016,12.5248486040278
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L15","asymptomatic","endothelial","C6",5.3521930995382,9.34903969672305
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L18","asymptomatic","endothelial","C6",4.17959619333053,17.9597928652835
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L19","asymptomatic","endothelial","C6",6.16056274645487,26.5591319683449
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L21","asymptomatic","endothelial","C6",3.01173836840798,10.1438122204264
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L22","asymptomatic","endothelial","C6",4.83222909366112,13.179197909609
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M01","asymptomatic","endothelial","C6",3.69346162767074,14.7052725971974
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M02","asymptomatic","endothelial","C6",1.70661949439503,9.10356070087311
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M03","asymptomatic","macrophage","C5",-16.132265971618,4.77169131752455
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M05","asymptomatic","macrophage","C5",-20.4348184526273,2.81378567680002
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M06","asymptomatic","endothelial","C6",7.82081441685485,9.49972389257688
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M07","asymptomatic","endothelial","C6",4.67221787385631,2.5636875327731
