"sample","macrophage_marker","vsmc_marker","endothelial_marker","fibroblast_marker","broad_inflammation_marker","cohort"
"GSM3039648",0.667034930856749,-0.0296916955149428,0.403146150217658,0.35922450812967,0.255295352366037,"GSE111782"
"GSM3039649",0.195702725031386,0.123923079251435,1.09135080448343,0.926555363347321,0.0670331378569445,"GSE111782"
"GSM3039650",-0.772562927197068,-1.01712971154431,-0.971030720032495,-1.50168768713722,-0.935823181215664,"GSE111782"
"GSM3039651",-1.19521531076658,-1.21584844277583,-0.567925277362162,-1.69220756307449,-0.800701159658817,"GSE111782"
"GSM3039652",-1.25445789999781,-0.64393374353007,-0.136176257624648,-0.91177160213195,-1.00842687593217,"GSE111782"
"GSM3039653",0.426085119700842,-0.454326253413124,0.259316984665855,-0.435683564291446,-0.222140852837274,"GSE111782"
"GSM3039654",0.627581618304368,0.0235397807659739,0.194712340500184,0.573565128890355,0.74241825370763,"GSE111782"
"GSM3039655",0.786143699064014,0.239533044055965,0.60556527979399,0.716305659345889,0.531784053420212,"GSE111782"
"GSM3039656",-0.0370198933045126,0.564951001507164,-0.486270413693074,0.471565307521349,0.215733870822685,"GSE111782"
"GSM3039657",-1.37248688818305,-1.20077758653961,-0.488839520683715,-1.22343152929301,-0.936662207991679,"GSE111782"
"GSM3039658",0.50510025476084,0.323607511942725,0.120387603818131,0.782070858458224,0.665191859502268,"GSE111782"
"GSM3039659",0.067136246863613,0.706197442462158,0.214497080839856,0.020831038908246,-0.362797086737436,"GSE111782"
"GSM3039660",0.450823992909764,0.4752859777502,-0.174032481979597,0.190877150574254,0.0714651786547314,"GSE111782"
"GSM3039661",0.667865025048227,0.171631796043829,0.276256605137057,0.163809641474628,0.618540415403001,"GSE111782"
"GSM3039662",0.698726370826391,0.196727319384252,0.156003831266445,0.820489295742828,0.645966516653116,"GSE111782"
"GSM3039663",0.496045398540054,0.483720142956341,-0.0724164638919357,0.45044984904913,0.594048397486127,"GSE111782"
"GSM3039664",-1.14879874204608,0.658479998236128,-0.463714770219846,-0.051310124144249,-0.586725045059191,"GSE111782"
"GSM3039665",0.192296279588842,0.594110338961716,0.0391692247648621,0.340348268630476,0.445799373559484,"GSE111782"
"Asymp1",-0.273185507257948,0.111454483875579,0.185912248197179,0.89251545141207,0.625940798798374,"GSE311535"
"Asymp2",0.0375390662214338,-1.18241379696025,1.50061933559407,-0.994912275728223,0.103691158156672,"GSE311535"
"Symp1",-1.39020521421551,1.33182402801017,0.436172485219683,1.05244220918438,-1.05629501378754,"GSE311535"
"Symp2",0.450084715760085,-0.538920532385389,0.881170323006669,-0.325654254491125,0.406041741556325,"GSE311535"
"Symp3",-0.122490781492655,-1.15037234495055,-0.0447620002429298,-1.66500503593188,-0.304292351962347,"GSE311535"
"Symp4",0.805429038637015,-0.467733963440041,-0.121727136034257,0.868893192330534,0.665861359803916,"GSE311535"
"Asymp3",0.752778754413878,-0.367528005143406,-0.331993878508018,-0.694917180501501,-0.163154484524092,"GSE311535"
"Symp5",1.26949347514391,-0.880038288239219,0.457754172695099,-0.112895273219197,0.92334852209029,"GSE311535"
"Symp6",-0.0695030148435778,0.238170736465314,-1.22384531289686,-0.0678459365048011,-0.235093064963733,"GSE311535"
"Asymp4",-1.93960528146228,1.74863071171704,-0.743508897450201,-0.0593045099343222,-0.891897613632528,"GSE311535"
"Asymp5",0.703624241847051,0.217921612844012,-1.29840563889705,0.866971730897567,0.711559210896951,"GSE311535"
"Asymp6",-0.22395949275141,0.93900535820675,0.302614299316624,0.239711882486495,-0.785710262432284,"GSE311535"
