"file","major_cell_type","n_cells","total_cells","fraction_of_cells","title_stub","file_stub.x","gsm","subject_status","tissue","group","file_stub.y"
"GSM8121897_athero_human_4.txt.gz","endothelial",18,417,0.0431654676258993,"athero_human_4","GSM8121897_athero_human_4","GSM8121897","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121897_athero_human_4"
"GSM8121897_athero_human_4.txt.gz","vsmc",112,417,0.268585131894484,"athero_human_4","GSM8121897_athero_human_4","GSM8121897","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121897_athero_human_4"
"GSM8121897_athero_human_4.txt.gz","fibroblast",146,417,0.350119904076739,"athero_human_4","GSM8121897_athero_human_4","GSM8121897","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121897_athero_human_4"
"GSM8121897_athero_human_4.txt.gz","t_nk",6,417,0.0143884892086331,"athero_human_4","GSM8121897_athero_human_4","GSM8121897","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121897_athero_human_4"
"GSM8121897_athero_human_4.txt.gz","mast",16,417,0.0383693045563549,"athero_human_4","GSM8121897_athero_human_4","GSM8121897","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121897_athero_human_4"
"GSM8121898_athero_human_5.txt.gz","unassigned",22,223,0.0986547085201794,"athero_human_5","GSM8121898_athero_human_5","GSM8121898","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121898_athero_human_5"
"GSM8121898_athero_human_5.txt.gz","vsmc",41,223,0.183856502242152,"athero_human_5","GSM8121898_athero_human_5","GSM8121898","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121898_athero_human_5"
"GSM8121898_athero_human_5.txt.gz","b_cell",7,223,0.031390134529148,"athero_human_5","GSM8121898_athero_human_5","GSM8121898","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121898_athero_human_5"
"GSM8121898_athero_human_5.txt.gz","macrophage",7,223,0.031390134529148,"athero_human_5","GSM8121898_athero_human_5","GSM8121898","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121898_athero_human_5"
"GSM8121898_athero_human_5.txt.gz","endothelial",90,223,0.403587443946188,"athero_human_5","GSM8121898_athero_human_5","GSM8121898","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121898_athero_human_5"
"GSM8121898_athero_human_5.txt.gz","mast",11,223,0.0493273542600897,"athero_human_5","GSM8121898_athero_human_5","GSM8121898","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121898_athero_human_5"
