"sample","group","cohort","signature","score"
"Symp5","symptomatic","GSE311535","synthetic_vsmc",-0.0116127378900514
"Symp6","symptomatic","GSE311535","synthetic_vsmc",-0.0630622273878658
"Asymp4","asymptomatic","GSE311535","synthetic_vsmc",0.102932892395836
"Asymp5","asymptomatic","GSE311535","synthetic_vsmc",1.08637148034695
"Asymp6","asymptomatic","GSE311535","synthetic_vsmc",0.138188804175698
"GSM3039648","symptomatic","GSE111782","inflammatory_vsmc",0.255295352366037
"GSM3039649","symptomatic","GSE111782","inflammatory_vsmc",0.0670331378569445
"GSM3039650","symptomatic","GSE111782","inflammatory_vsmc",-0.935823181215664
"GSM3039651","symptomatic","GSE111782","inflammatory_vsmc",-0.800701159658817
"GSM3039652","symptomatic","GSE111782","inflammatory_vsmc",-1.00842687593217
"GSM3039653","symptomatic","GSE111782","inflammatory_vsmc",-0.222140852837274
"GSM3039654","symptomatic","GSE111782","inflammatory_vsmc",0.74241825370763
"GSM3039655","symptomatic","GSE111782","inflammatory_vsmc",0.531784053420212
"GSM3039656","symptomatic","GSE111782","inflammatory_vsmc",0.215733870822685
"GSM3039657","asymptomatic","GSE111782","inflammatory_vsmc",-0.936662207991679
"GSM3039658","asymptomatic","GSE111782","inflammatory_vsmc",0.665191859502268
"GSM3039659","asymptomatic","GSE111782","inflammatory_vsmc",-0.362797086737436
"GSM3039660","asymptomatic","GSE111782","inflammatory_vsmc",0.0714651786547314
"GSM3039661","asymptomatic","GSE111782","inflammatory_vsmc",0.618540415403001
"GSM3039662","asymptomatic","GSE111782","inflammatory_vsmc",0.645966516653116
"GSM3039663","asymptomatic","GSE111782","inflammatory_vsmc",0.594048397486127
"GSM3039664","asymptomatic","GSE111782","inflammatory_vsmc",-0.586725045059191
"GSM3039665","asymptomatic","GSE111782","inflammatory_vsmc",0.445799373559484
"Asymp1","asymptomatic","GSE311535","inflammatory_vsmc",0.625940798798374
"Asymp2","asymptomatic","GSE311535","inflammatory_vsmc",0.103691158156672
"Symp1","symptomatic","GSE311535","inflammatory_vsmc",-1.05629501378754
"Symp2","symptomatic","GSE311535","inflammatory_vsmc",0.406041741556325
"Symp3","symptomatic","GSE311535","inflammatory_vsmc",-0.304292351962347
"Symp4","symptomatic","GSE311535","inflammatory_vsmc",0.665861359803916
"Asymp3","asymptomatic","GSE311535","inflammatory_vsmc",-0.163154484524092
"Symp5","symptomatic","GSE311535","inflammatory_vsmc",0.92334852209029
"Symp6","symptomatic","GSE311535","inflammatory_vsmc",-0.235093064963733
"Asymp4","asymptomatic","GSE311535","inflammatory_vsmc",-0.891897613632528
"Asymp5","asymptomatic","GSE311535","inflammatory_vsmc",0.711559210896951
"Asymp6","asymptomatic","GSE311535","inflammatory_vsmc",-0.785710262432284
"GSM3039648","symptomatic","GSE111782","ecm_remodeling_vsmc",-0.212697820109932
"GSM3039649","symptomatic","GSE111782","ecm_remodeling_vsmc",0.278619245604534
"GSM3039650","symptomatic","GSE111782","ecm_remodeling_vsmc",-0.240040599872457
"GSM3039651","symptomatic","GSE111782","ecm_remodeling_vsmc",-0.490748597086983
"GSM3039652","symptomatic","GSE111782","ecm_remodeling_vsmc",0.320301979796771
"GSM3039653","symptomatic","GSE111782","ecm_remodeling_vsmc",0.402289719978579
"GSM3039654","symptomatic","GSE111782","ecm_remodeling_vsmc",0.198441043407613
"GSM3039655","symptomatic","GSE111782","ecm_remodeling_vsmc",0.0857753206278118
"GSM3039656","symptomatic","GSE111782","ecm_remodeling_vsmc",0.263737624046315
"GSM3039657","asymptomatic","GSE111782","ecm_remodeling_vsmc",-0.457046501327491
"GSM3039658","asymptomatic","GSE111782","ecm_remodeling_vsmc",0.0668602416029107
"GSM3039659","asymptomatic","GSE111782","ecm_remodeling_vsmc",-0.074158076529055
"GSM3039660","asymptomatic","GSE111782","ecm_remodeling_vsmc",-0.0689219755942447
"GSM3039661","asymptomatic","GSE111782","ecm_remodeling_vsmc",-0.064540217030123
"GSM3039662","asymptomatic","GSE111782","ecm_remodeling_vsmc",0.231139421289007
"GSM3039663","asymptomatic","GSE111782","ecm_remodeling_vsmc",0.195489870779807
"GSM3039664","asymptomatic","GSE111782","ecm_remodeling_vsmc",-0.48394748865212
"GSM3039665","asymptomatic","GSE111782","ecm_remodeling_vsmc",0.0494468090690554
"Asymp1","asymptomatic","GSE311535","ecm_remodeling_vsmc",0.530022378705663
"Asymp2","asymptomatic","GSE311535","ecm_remodeling_vsmc",-0.22342839097735
"Symp1","symptomatic","GSE311535","ecm_remodeling_vsmc",0.321602132620739
"Symp2","symptomatic","GSE311535","ecm_remodeling_vsmc",0.285261790131485
"Symp3","symptomatic","GSE311535","ecm_remodeling_vsmc",-0.761111045424371
"Symp4","symptomatic","GSE311535","ecm_remodeling_vsmc",0.695238010227292
"Asymp3","asymptomatic","GSE311535","ecm_remodeling_vsmc",-0.227404867238511
"Symp5","symptomatic","GSE311535","ecm_remodeling_vsmc",0.385738263109295
"Symp6","symptomatic","GSE311535","ecm_remodeling_vsmc",-0.337299706574766
"Asymp4","asymptomatic","GSE311535","ecm_remodeling_vsmc",-0.434814766022919
"Asymp5","asymptomatic","GSE311535","ecm_remodeling_vsmc",0.319993446164399
"Asymp6","asymptomatic","GSE311535","ecm_remodeling_vsmc",-0.553797244720958
