"gene","major_cell_type","gene_present","median_cells_per_sample_file","mean_log1p_cpm","fraction_expressing","display_panel"
"C1QA","endothelial",TRUE,23,0.161297007964474,0.636363636363636,"Macrophage markers"
"C1QA","fibroblast",TRUE,112,0.0516895879545496,0.343589743589744,"Macrophage markers"
"C1QA","t_nk",TRUE,9,0.733584009144579,0.985714285714286,"Macrophage markers"
"C1QA","b_cell",TRUE,13,1.27520803820982,0.833333333333333,"Macrophage markers"
"C1QA","mast",TRUE,11,1.18163473477537,0.916666666666667,"Macrophage markers"
"C1QA","unassigned",TRUE,42,0.464744615017922,0.636363636363636,"Macrophage markers"
"C1QB","macrophage",TRUE,170,2.56759255911995,1,"Macrophage markers"
"C1QB","vsmc",TRUE,85,0.0352553558112821,0.214285714285714,"Macrophage markers"
"C1QB","endothelial",TRUE,23,0.21425314993702,0.636363636363636,"Macrophage markers"
"C1QB","fibroblast",TRUE,112,0.0463610063348749,0.179487179487179,"Macrophage markers"
"C1QB","t_nk",TRUE,9,0.677762072971994,0.957142857142857,"Macrophage markers"
"C1QB","b_cell",TRUE,13,0.969487220570987,0.857142857142857,"Macrophage markers"
"C1QB","mast",TRUE,11,1.22456326128566,1,"Macrophage markers"
"C1QB","unassigned",TRUE,42,0.397318886035759,0.586206896551724,"Macrophage markers"
"C1QC","macrophage",TRUE,170,2.76014573816406,1,"Macrophage markers"
"C1QC","vsmc",TRUE,85,0.038496542805387,0.282352941176471,"Macrophage markers"
"C1QC","endothelial",TRUE,23,0.16658427263909,0.636363636363636,"Macrophage markers"
"C1QC","fibroblast",TRUE,112,0.0486604487896951,0.261538461538462,"Macrophage markers"
"C1QC","t_nk",TRUE,9,0.850995173498125,0.986301369863014,"Macrophage markers"
"C1QC","b_cell",TRUE,13,1.10831838287221,0.875,"Macrophage markers"
"C1QC","mast",TRUE,11,1.30091614679792,1,"Macrophage markers"
"C1QC","unassigned",TRUE,42,0.57984786862805,0.580645161290323,"Macrophage markers"
"CD68","macrophage",TRUE,170,2.62293004055348,1,"Macrophage markers"
"CD68","vsmc",TRUE,85,0.307561544343202,0.721739130434783,"Macrophage markers"
"CD68","endothelial",TRUE,23,0.671984462062248,0.909090909090909,"Macrophage markers"
"CD68","fibroblast",TRUE,112,0.637359949082419,0.801980198019802,"Macrophage markers"
"CD68","t_nk",TRUE,9,1.34975117549297,1,"Macrophage markers"
"CD68","b_cell",TRUE,13,1.36680736993953,1,"Macrophage markers"
"CD68","mast",TRUE,11,1.30242712747962,1,"Macrophage markers"
"CD68","unassigned",TRUE,42,0.963659835865653,0.861111111111111,"Macrophage markers"
"PECAM1","macrophage",TRUE,170,0.953006999660452,0.969072164948454,"Endothelial markers"
"PECAM1","vsmc",TRUE,85,0.0854563728333438,0.373015873015873,"Endothelial markers"
"PECAM1","endothelial",TRUE,23,2.56602196259007,1,"Endothelial markers"
"PECAM1","fibroblast",TRUE,112,0.0995660405846014,0.362745098039216,"Endothelial markers"
"PECAM1","t_nk",TRUE,9,0.346133566421074,0.813559322033898,"Endothelial markers"
"PECAM1","b_cell",TRUE,13,0.706814240711802,0.875,"Endothelial markers"
"PECAM1","mast",TRUE,11,0.511190164942383,0.857142857142857,"Endothelial markers"
"PECAM1","unassigned",TRUE,42,0.433260551629667,0.638888888888889,"Endothelial markers"
"VWF","macrophage",TRUE,170,0.0791125056186368,0.159090909090909,"Endothelial markers"
"VWF","vsmc",TRUE,85,0.0137523247919166,0.104046242774566,"Endothelial markers"
"VWF","endothelial",TRUE,23,2.69848953081607,0.983050847457627,"Endothelial markers"
"VWF","fibroblast",TRUE,112,0.0132824073532282,0.125714285714286,"Endothelial markers"
"VWF","t_nk",TRUE,9,0.00676868102249218,0.0677966101694915,"Endothelial markers"
"VWF","b_cell",TRUE,13,0.0162616178722785,0.166666666666667,"Endothelial markers"
"VWF","mast",TRUE,11,0.0887243937713741,0.125,"Endothelial markers"
"VWF","unassigned",TRUE,42,0.0377139595071277,0.128205128205128,"Endothelial markers"
"CLDN5","macrophage",TRUE,170,0.0162797944700603,0.138095238095238,"Endothelial markers"
"CLDN5","vsmc",TRUE,85,0.00235968222196978,0.032258064516129,"Endothelial markers"
"CLDN5","endothelial",TRUE,23,0.762283154723553,0.774193548387097,"Endothelial markers"
"CLDN5","fibroblast",TRUE,112,0.0040859540414311,0.0487804878048781,"Endothelial markers"
"CLDN5","t_nk",TRUE,9,0.00656323151552513,0.0571428571428571,"Endothelial markers"
"CLDN5","b_cell",TRUE,13,0,0,"Endothelial markers"
"CLDN5","mast",TRUE,11,0.0159697104457512,0.1,"Endothelial markers"
"CLDN5","unassigned",TRUE,42,0.00865726009852871,0.0555555555555556,"Endothelial markers"
"CDH5","macrophage",TRUE,170,0.0116720699284007,0.140909090909091,"Endothelial markers"
"CDH5","vsmc",TRUE,85,0.00380652676433817,0.0258064516129032,"Endothelial markers"
"CDH5","endothelial",TRUE,23,1.15599381313763,0.833333333333333,"Endothelial markers"
"CDH5","fibroblast",TRUE,112,0.00318169434293963,0.032258064516129,"Endothelial markers"
"CDH5","t_nk",TRUE,9,0,0,"Endothelial markers"
"CDH5","b_cell",TRUE,13,0.00274381718220775,0.0714285714285714,"Endothelial markers"
"CDH5","mast",TRUE,11,0.0163389968803405,0.1,"Endothelial markers"
"CDH5","unassigned",TRUE,42,0.00699863688708988,0.0714285714285714,"Endothelial markers"
"COL1A1","macrophage",TRUE,170,0.152837141396689,0.569444444444444,"Fibroblast markers"
"COL1A1","vsmc",TRUE,85,1.49871893906937,0.992700729927007,"Fibroblast markers"
"COL1A1","endothelial",TRUE,23,0.251428644489482,0.785714285714286,"Fibroblast markers"
"COL1A1","fibroblast",TRUE,112,2.91339846614638,1,"Fibroblast markers"
"COL1A1","t_nk",TRUE,9,0.320554599205316,0.555555555555556,"Fibroblast markers"
"COL1A1","b_cell",TRUE,13,0.596058593142072,0.75,"Fibroblast markers"
"COL1A1","mast",TRUE,11,0.295089942271742,0.666666666666667,"Fibroblast markers"
"COL1A1","unassigned",TRUE,42,0.970628914149088,0.863636363636364,"Fibroblast markers"
"COL1A2","macrophage",TRUE,170,0.178702293974865,0.673575129533679,"Fibroblast markers"
"COL1A2","vsmc",TRUE,85,2.67145954355311,1,"Fibroblast markers"
"COL1A2","endothelial",TRUE,23,0.69123293180693,0.875,"Fibroblast markers"
"COL1A2","fibroblast",TRUE,112,3.73191080587546,1,"Fibroblast markers"
"COL1A2","t_nk",TRUE,9,0.301265586167518,0.833333333333333,"Fibroblast markers"
"COL1A2","b_cell",TRUE,13,0.704233023258842,0.75,"Fibroblast markers"
"COL1A2","mast",TRUE,11,0.361645252715548,0.8,"Fibroblast markers"
"COL1A2","unassigned",TRUE,42,1.70909441761837,0.876623376623377,"Fibroblast markers"
"DCN","macrophage",TRUE,170,0.0762174765961309,0.442455242966752,"Fibroblast markers"
"DCN","vsmc",TRUE,85,0.483033040741948,0.941176470588235,"Fibroblast markers"
"DCN","endothelial",TRUE,23,0.226508010288716,0.695652173913043,"Fibroblast markers"
"DCN","fibroblast",TRUE,112,2.00193667409205,0.994871794871795,"Fibroblast markers"
"DCN","t_nk",TRUE,9,0.092253925412791,0.5,"Fibroblast markers"
"DCN","b_cell",TRUE,13,0.210180651014906,0.541666666666667,"Fibroblast markers"
"DCN","mast",TRUE,11,0.0962336913256738,0.4,"Fibroblast markers"
"DCN","unassigned",TRUE,42,0.701764068290961,0.69811320754717,"Fibroblast markers"
"LUM","macrophage",TRUE,170,0.097406009200824,0.345238095238095,"Fibroblast markers"
"LUM","vsmc",TRUE,85,0.885109364053523,0.964705882352941,"Fibroblast markers"
"LUM","endothelial",TRUE,23,0.108546385494949,0.529411764705882,"Fibroblast markers"
"LUM","fibroblast",TRUE,112,3.0689463163339,1,"Fibroblast markers"
"LUM","t_nk",TRUE,9,0.2253690314178,0.5,"Fibroblast markers"
"LUM","b_cell",TRUE,13,0.220343771600565,0.428571428571429,"Fibroblast markers"
"LUM","mast",TRUE,11,0.170071941456117,0.5,"Fibroblast markers"
"LUM","unassigned",TRUE,42,1.06744850986114,0.772727272727273,"Fibroblast markers"
"CD3D","macrophage",TRUE,170,0.00189764617795613,0.0412371134020619,"T/NK markers"
"CD3D","vsmc",TRUE,85,0,0,"T/NK markers"
"CD3D","endothelial",TRUE,23,0,0,"T/NK markers"
"CD3D","fibroblast",TRUE,112,0.00016918352051973,0.00606060606060606,"T/NK markers"
"CD3D","t_nk",TRUE,9,0.389899220900026,0.333333333333333,"T/NK markers"
"CD3D","b_cell",TRUE,13,0,0,"T/NK markers"
"CD3D","mast",TRUE,11,0,0,"T/NK markers"
"CD3D","unassigned",TRUE,42,0.00219381109719284,0.0294117647058824,"T/NK markers"
"TRAC","macrophage",TRUE,170,0.0137400076058309,0.125,"T/NK markers"
"TRAC","vsmc",TRUE,85,0.0196050497111212,0.0864197530864197,"T/NK markers"
"TRAC","endothelial",TRUE,23,0.00921840542982409,0.0955414012738854,"T/NK markers"
"TRAC","fibroblast",TRUE,112,0.0514315988156025,0.125,"T/NK markers"
"TRAC","t_nk",TRUE,9,0.69213982827408,0.5,"T/NK markers"
"TRAC","b_cell",TRUE,13,0.00454213581632515,0.142857142857143,"T/NK markers"
"TRAC","mast",TRUE,11,0.0181582777233258,0.166666666666667,"T/NK markers"
"TRAC","unassigned",TRUE,42,0.034951182600288,0.132075471698113,"T/NK markers"
"NKG7","macrophage",TRUE,170,0.0264385969374011,0.135549872122762,"T/NK markers"
"NKG7","vsmc",TRUE,85,0,0,"T/NK markers"
"NKG7","endothelial",TRUE,23,0.000542595496447825,0.008,"T/NK markers"
"NKG7","fibroblast",TRUE,112,0,0,"T/NK markers"
"NKG7","t_nk",TRUE,9,0.552102135203744,0.5,"T/NK markers"
"NKG7","b_cell",TRUE,13,0.0269274655333296,0.222222222222222,"T/NK markers"
"NKG7","mast",TRUE,11,0.0135754144709518,0.0740740740740741,"T/NK markers"
"NKG7","unassigned",TRUE,42,0.0251433143744428,0.123376623376623,"T/NK markers"
"MS4A1","macrophage",TRUE,170,0,0,"B-cell markers"
"MS4A1","vsmc",TRUE,85,0,0,"B-cell markers"
"MS4A1","endothelial",TRUE,23,0,0,"B-cell markers"
"MS4A1","fibroblast",TRUE,112,0,0,"B-cell markers"
"MS4A1","t_nk",TRUE,9,0,0,"B-cell markers"
"MS4A1","b_cell",TRUE,13,0.00340072212842123,0.0625,"B-cell markers"
"MS4A1","mast",TRUE,11,0,0,"B-cell markers"
"MS4A1","unassigned",TRUE,42,0,0,"B-cell markers"
"CD79A","macrophage",TRUE,170,0.000146235470652013,0.00454545454545455,"B-cell markers"
"CD79A","vsmc",TRUE,85,0,0,"B-cell markers"
"CD79A","endothelial",TRUE,23,0,0,"B-cell markers"
"CD79A","fibroblast",TRUE,112,0,0,"B-cell markers"
"CD79A","t_nk",TRUE,9,0,0,"B-cell markers"
"CD79A","b_cell",TRUE,13,0.0946446029474995,0.2,"B-cell markers"
"CD79A","mast",TRUE,11,0,0,"B-cell markers"
"CD79A","unassigned",TRUE,42,0,0,"B-cell markers"
"TPSAB1","macrophage",TRUE,170,0.0206512639069267,0.141176470588235,"Mast-cell markers"
"TPSAB1","vsmc",TRUE,85,0,0,"Mast-cell markers"
"TPSAB1","endothelial",TRUE,23,0.000988535383262746,0.0236220472440945,"Mast-cell markers"
"TPSAB1","fibroblast",TRUE,112,0,0,"Mast-cell markers"
"TPSAB1","t_nk",TRUE,9,0.0176317103016471,0.125,"Mast-cell markers"
"TPSAB1","b_cell",TRUE,13,0.00638285810681833,0.0769230769230769,"Mast-cell markers"
"TPSAB1","mast",TRUE,11,0.665892880778112,0.8,"Mast-cell markers"
"TPSAB1","unassigned",TRUE,42,0.0161832086172769,0.0681818181818182,"Mast-cell markers"
"CPA3","macrophage",TRUE,170,0.00533142089311086,0.037037037037037,"Mast-cell markers"
"CPA3","vsmc",TRUE,85,0,0,"Mast-cell markers"
"CPA3","endothelial",TRUE,23,0,0,"Mast-cell markers"
"CPA3","fibroblast",TRUE,112,0,0,"Mast-cell markers"
"CPA3","t_nk",TRUE,9,0,0,"Mast-cell markers"
"CPA3","b_cell",TRUE,13,0,0,"Mast-cell markers"
"CPA3","mast",TRUE,11,0.852342319274199,0.8,"Mast-cell markers"
"CPA3","unassigned",TRUE,42,0.0104787410860271,0.0645161290322581,"Mast-cell markers"
"KIT","macrophage",TRUE,170,0.000568251427353886,0.0188679245283019,"Mast-cell markers"
"KIT","vsmc",TRUE,85,0.00339148247016175,0.0258064516129032,"Mast-cell markers"
"KIT","endothelial",TRUE,23,0.0480519479219615,0.125,"Mast-cell markers"
"KIT","fibroblast",TRUE,112,0.000531588395363374,0.0136986301369863,"Mast-cell markers"
