"gene","major_cell_type","gene_present","median_cells_per_sample_file","mean_log1p_cpm","fraction_expressing","display_panel"
"NFKB1","t_nk",TRUE,9,0.308616385884427,0.625,"Inflammatory VSMC-associated genes"
"NFKB1","b_cell",TRUE,13,0.333735475228004,0.6,"Inflammatory VSMC-associated genes"
"NFKB1","mast",TRUE,11,0.348919130001616,0.5,"Inflammatory VSMC-associated genes"
"NFKB1","unassigned",TRUE,42,0.256525063272945,0.527777777777778,"Inflammatory VSMC-associated genes"
"RELA","macrophage",TRUE,170,0.327299083170644,0.680306905370844,"Inflammatory VSMC-associated genes"
"RELA","vsmc",TRUE,85,0.531807067303541,0.741071428571429,"Inflammatory VSMC-associated genes"
"RELA","endothelial",TRUE,23,0.562631858461922,0.777777777777778,"Inflammatory VSMC-associated genes"
"RELA","fibroblast",TRUE,112,0.44064070598603,0.707317073170732,"Inflammatory VSMC-associated genes"
"RELA","t_nk",TRUE,9,0.398149267028609,0.571428571428571,"Inflammatory VSMC-associated genes"
"RELA","b_cell",TRUE,13,0.357765992805013,0.6875,"Inflammatory VSMC-associated genes"
"RELA","mast",TRUE,11,0.397785160003551,0.727272727272727,"Inflammatory VSMC-associated genes"
"RELA","unassigned",TRUE,42,0.45070486542409,0.722222222222222,"Inflammatory VSMC-associated genes"
"STAT3","macrophage",TRUE,170,0.819119916390718,0.958762886597938,"Inflammatory VSMC-associated genes"
"STAT3","vsmc",TRUE,85,1.09065916015289,0.963235294117647,"Inflammatory VSMC-associated genes"
"STAT3","endothelial",TRUE,23,1.05581070050627,0.977777777777778,"Inflammatory VSMC-associated genes"
"STAT3","fibroblast",TRUE,112,0.994120664295538,0.96969696969697,"Inflammatory VSMC-associated genes"
"STAT3","t_nk",TRUE,9,0.85892833652153,0.915254237288136,"Inflammatory VSMC-associated genes"
"STAT3","b_cell",TRUE,13,0.780453599763606,1,"Inflammatory VSMC-associated genes"
"STAT3","mast",TRUE,11,0.856283603263169,1,"Inflammatory VSMC-associated genes"
"STAT3","unassigned",TRUE,42,0.93408209831981,0.922077922077922,"Inflammatory VSMC-associated genes"
"TNF","macrophage",TRUE,170,0.433504178317324,0.685714285714286,"Inflammatory VSMC-associated genes"
