"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"contractile_vsmc",0.00204845498114699,0.0102422749057349,0.431707695803346,-0.665180221889589,-1.98688271066669,11,"MYH11;ACTA2;CALD1;PLN;CNN1;MYLK;TAGLN"
"ecm_remodeling_vsmc",0.782764811490126,0.782764811490126,0.0519512476197082,0.256706950085676,0.75105602624457,12,"ALPL;MMP14;BMP2;RUNX2;COL1A1;SOX9"
"efferocytosis",0.020892089063247,0.0261151113290587,0.352487857583619,-0.404179255234163,-1.60140702941098,29,"ITGAV;PROS1;NR1H3;MFGE8;ANXA5;ITGB3;LAMP2;ITGB5;ANXA1;LAMP1;FCGR1A"
"inflammatory_vsmc",0.0173652413949968,0.0261151113290587,0.352487857583619,-0.59334131274653,-1.80857252571944,12,"STAT3;VCAM1;ICAM1;RELA;CCL2;CXCL12"
"synthetic_vsmc",0.0133357850573213,0.0261151113290587,0.380730400722792,-0.603845933075727,-1.84059181598689,12,"VCAN;LUM;CTGF;FN1;SPARC;COL3A1;TIMP1;MMP2;FGF2"
