"package","installed","version"
"limma",TRUE,"3.68.5"
"edgeR",TRUE,"4.10.4"
"GEOquery",TRUE,"2.80.0"
"Biobase",TRUE,"2.72.0"
"hgu133a2.db",TRUE,"3.13.0"
"GSVA",TRUE,"2.6.6"
"GSEABase",TRUE,"1.74.0"
"org.Hs.eg.db",TRUE,"3.23.1"
"AnnotationDbi",TRUE,"1.74.0"
"fgsea",TRUE,"1.38.0"
"clusterProfiler",TRUE,"4.20.0"
"ReactomePA",TRUE,"1.56.0"
"ggplot2",TRUE,"4.0.3"
"pheatmap",TRUE,"1.0.13"
"RColorBrewer",TRUE,"1.1.3"
